codigo_sku,nome_projeto,segmentacao_prioridade,estoque_atual,consumo_medio_diario,cobertura_dias,acao_ressuprimento,sinal_redistribuicao
BBTN0008,BikeSampa,A,240,5,48,excesso de estoque,sem oportunidade clara
BCB0178,BikeCuritiba,A,108,"1,67","64,8",excesso de estoque,sem oportunidade clara
BCB0239,BikeCuritiba,A,186,"2,17","85,85",excesso de estoque,sem oportunidade clara
BCB0239,BikePoa,A,283,"1,5","188,67",excesso de estoque,sem oportunidade clara
BCB0239,BikeRio,A,1.997,"4,78","417,98",excesso de estoque,sem oportunidade clara
BEFI0008,BikeSampa,A,80,"1,5","53,33",excesso de estoque,sem oportunidade clara
BEFI0048,BikeRio,A,211,1,211,excesso de estoque,sem oportunidade clara
BEFI0049,BikeRio,A,214,2,107,excesso de estoque,sem oportunidade clara
BEFN0030,BikeRio,A,101,"1,75","57,71",excesso de estoque,sem oportunidade clara
BII0049,BikePoa,A,48,1,48,excesso de estoque,sem oportunidade clara
BOKI0003,BikeSSA,A,64,1,64,excesso de estoque,sem oportunidade clara
BOKI0012,BikeSSA,A,106,1,106,excesso de estoque,sem oportunidade clara
BOKI0039,BikeSSA,A,193,4,"48,25",excesso de estoque,sem oportunidade clara
BSI0003,BikeRio,A,2.155,"19,57","110,11",excesso de estoque,sem oportunidade clara
BSI0003,BikeSampa,A,538,"10,38","51,86",excesso de estoque,sem oportunidade clara
BSN0001,BikePoa,A,127,1,127,excesso de estoque,sem oportunidade clara
BSN0001,BikeSSA,A,281,"3,75","74,93",excesso de estoque,sem oportunidade clara
BTB0003,BikeBSB,A,61,1,61,excesso de estoque,sem oportunidade clara
BTB0003,BikePoa,A,178,"1,67","106,8",excesso de estoque,sem oportunidade clara
BTB0003,BikeRio,A,729,"7,8","93,46",excesso de estoque,sem oportunidade clara
BTB0003,BikeSSA,A,310,"1,2","258,33",excesso de estoque,sem oportunidade clara
BTB0003,BikeSampa,A,166,"2,5","66,4",excesso de estoque,sem oportunidade clara
BTB0004,BikeCuritiba,A,72,1,72,excesso de estoque,sem oportunidade clara
BTB0004,BikeSSA,A,383,"2,4","159,58",excesso de estoque,sem oportunidade clara
BTB0004,BikeSampa,A,89,"1,33","66,75",excesso de estoque,sem oportunidade clara
BTB0005,BikeCuritiba,A,94,1,94,excesso de estoque,sem oportunidade clara
BTB0005,BikeRio,A,396,"3,75","105,6",excesso de estoque,sem oportunidade clara
BTB0013,BikeCuritiba,A,65,1,65,excesso de estoque,sem oportunidade clara
BTB0013,BikePE,A,181,"1,67","108,6",excesso de estoque,sem oportunidade clara
BTB0013,BikePoa,A,197,1,197,excesso de estoque,sem oportunidade clara
BTB0013,BikeRio,A,201,"2,86","70,35",excesso de estoque,sem oportunidade clara
BTB0013,BikeSSA,A,550,"2,8","196,43",excesso de estoque,sem oportunidade clara
BTB0013,BikeSampa,A,125,"1,86","67,31",excesso de estoque,sem oportunidade clara
BTB0030N,BikeSampa,A,485,6,"80,83",excesso de estoque,sem oportunidade clara
BTB0032-2,BikePoa,A,183,"1,33","137,25",excesso de estoque,sem oportunidade clara
BTB0032-2,BikeRio,A,714,"4,5","158,67",excesso de estoque,sem oportunidade clara
BTB0032-2,BikeSampa,A,378,"1,5",252,excesso de estoque,sem oportunidade clara
BTB0043,BikeSampa,A,419,"1,25","335,2",excesso de estoque,sem oportunidade clara
BTB0054N,BikeCuritiba,A,62,1,62,excesso de estoque,sem oportunidade clara
BTB0054N,BikeRio,A,427,"2,6","164,23",excesso de estoque,sem oportunidade clara
BTB0054N,BikeSSA,A,284,6,"47,33",excesso de estoque,sem oportunidade clara
BTB0058,BikeCuritiba,A,53,1,53,excesso de estoque,sem oportunidade clara
BTB0058,BikePoa,A,243,"1,75","138,86",excesso de estoque,sem oportunidade clara
BTB0062,BikeCuritiba,A,51,1,51,excesso de estoque,sem oportunidade clara
BTB0062,BikeSSA,A,238,"3,8","62,63",excesso de estoque,sem oportunidade clara
BTB0066,BikeRio,A,3.900,19,"205,26",excesso de estoque,sem oportunidade clara
BTB0071,BikeBSB,A,123,1,123,excesso de estoque,sem oportunidade clara
BTB0071,BikeCuritiba,A,95,1,95,excesso de estoque,sem oportunidade clara
BTB0071,BikePoa,A,141,1,141,excesso de estoque,sem oportunidade clara
BTB0071,BikeRio,A,550,"10,1","54,46",excesso de estoque,sem oportunidade clara
BTB0071,BikeSSA,A,405,"2,67","151,88",excesso de estoque,sem oportunidade clara
BTB0086N,BikeSampa,A,409,"6,5","62,92",excesso de estoque,sem oportunidade clara
BTB0112-1,BikeSSA,A,"7.748,88","126,67","61,18",excesso de estoque,sem oportunidade clara
BTB0112-2,BikeSSA,A,"8.240,41","126,67","65,06",excesso de estoque,sem oportunidade clara
BTB0153N,BikeBSB,A,526,3,"175,33",excesso de estoque,sem oportunidade clara
BBTI0009,BikeRio,B,85,1,85,excesso de estoque,sem oportunidade clara
BBTI0012,BikeRio,B,76,"1,67","45,6",excesso de estoque,sem oportunidade clara
BBTI0069,BikeSampa,B,149,"2,33","63,86",excesso de estoque,sem oportunidade clara
BBTI0144-1,BikeSampa,B,286,"1,33","214,5",excesso de estoque,sem oportunidade clara
BBTN0212,BikeRio,B,359,"6,25","57,44",excesso de estoque,sem oportunidade clara
BEFN0138,BikeRio,B,1.775,"12,5",142,excesso de estoque,sem oportunidade clara
BEFN0144,BikeRio,B,190,2,95,excesso de estoque,sem oportunidade clara
BEFN0146,BikeRio,B,202,2,101,excesso de estoque,sem oportunidade clara
BEFN0148,BikeRio,B,186,2,93,excesso de estoque,sem oportunidade clara
BOKI0044,BikeSSA,B,314,"5,33","58,88",excesso de estoque,sem oportunidade clara
BTB0001,BikeCuritiba,B,99,1,99,excesso de estoque,sem oportunidade clara
BTB0001,BikePoa,B,129,2,"64,5",excesso de estoque,sem oportunidade clara
BTB0001,BikeRio,B,389,"4,25","91,53",excesso de estoque,sem oportunidade clara
BTB0001,BikeSSA,B,311,3,"103,67",excesso de estoque,sem oportunidade clara
BTB0001,BikeSampa,B,326,"6,57","49,61",excesso de estoque,sem oportunidade clara
BTB0002,BikeCuritiba,B,160,"1,67",96,excesso de estoque,sem oportunidade clara
BTB0002,BikePoa,B,123,1,123,excesso de estoque,sem oportunidade clara
BTB0002,BikeRio,B,575,"5,11","112,5",excesso de estoque,sem oportunidade clara
BTB0002,BikeSSA,B,327,"3,75","87,2",excesso de estoque,sem oportunidade clara
BTB0007,BikeCuritiba,B,189,1,189,excesso de estoque,sem oportunidade clara
BTB0007,BikeRio,B,530,"4,75","111,58",excesso de estoque,sem oportunidade clara
BTB0007,BikeSSA,B,438,2,219,excesso de estoque,sem oportunidade clara
BTB0007,BikeSampa,B,584,"2,25","259,56",excesso de estoque,sem oportunidade clara
BTB0023,BikeBSB,B,69,1,69,excesso de estoque,sem oportunidade clara
BTB0023,BikeCuritiba,B,100,"1,25",80,excesso de estoque,sem oportunidade clara
BTB0023,BikePE,B,181,"2,71","66,68",excesso de estoque,sem oportunidade clara
BTB0023,BikePoa,B,120,1,120,excesso de estoque,sem oportunidade clara
BTB0023,BikeRio,B,166,3,"55,33",excesso de estoque,sem oportunidade clara
BTB0023,BikeSampa,B,198,"1,33","148,5",excesso de estoque,sem oportunidade clara
BTB0026N,BikeSampa,B,98,2,49,excesso de estoque,sem oportunidade clara
BTB0028N,BikePoa,B,219,1,219,excesso de estoque,sem oportunidade clara
BTB0032-7,BikeSampa,B,88,1,88,excesso de estoque,sem oportunidade clara
BTB0041N,BikeRio,B,67,1,67,excesso de estoque,sem oportunidade clara
BTB0046N-1,BikeSampa,B,60,1,60,excesso de estoque,sem oportunidade clara
BTB0053,BikeRio,B,391,"3,2","122,19",excesso de estoque,sem oportunidade clara
BTB0069,BikeSampa,B,71,1,71,excesso de estoque,sem oportunidade clara
BTB0081N,BikeCuritiba,B,194,2,97,excesso de estoque,sem oportunidade clara
BTB0081N,BikePE,B,146,"1,33","109,5",excesso de estoque,sem oportunidade clara
BTB0081N,BikeSSA,B,211,"4,33","48,69",excesso de estoque,sem oportunidade clara
BTB0081N,BikeSampa,B,181,1,181,excesso de estoque,sem oportunidade clara
BTB0101,BikePE,B,111,2,"55,5",excesso de estoque,sem oportunidade clara
BTB0101,BikeRio,B,434,"1,5","289,33",excesso de estoque,sem oportunidade clara
BTB0101,BikeSampa,B,233,"1,5","155,33",excesso de estoque,sem oportunidade clara
BTB0125,BikePoa,B,433,"3,43","126,29",excesso de estoque,sem oportunidade clara
BTB0125,BikeRio,B,447,"7,78","57,47",excesso de estoque,sem oportunidade clara
